row	column	cor	p	group
154	T.cells_CD8	GAGE12C	NA	NA	ASPS
155	CytolyticScore	GAGE12C	NA	NA	ASPS
156	T.cells_CD8	GAGE12D	NA	NA	ASPS
157	CytolyticScore	GAGE12D	NA	NA	ASPS
158	T.cells_CD8	GAGE12E	NA	NA	ASPS
159	CytolyticScore	GAGE12E	NA	NA	ASPS
160	T.cells_CD8	GAGE12F	NA	NA	ASPS
161	CytolyticScore	GAGE12F	NA	NA	ASPS
162	T.cells_CD8	GAGE12G	NA	NA	ASPS
163	CytolyticScore	GAGE12G	NA	NA	ASPS
164	T.cells_CD8	GAGE12H	NA	NA	ASPS
165	CytolyticScore	GAGE12H	NA	NA	ASPS
166	T.cells_CD8	GAGE12I	NA	NA	ASPS
167	CytolyticScore	GAGE12I	NA	NA	ASPS
168	T.cells_CD8	GAGE12J	NA	NA	ASPS
169	CytolyticScore	GAGE12J	NA	NA	ASPS
170	T.cells_CD8	GAGE13	NA	NA	ASPS
171	CytolyticScore	GAGE13	NA	NA	ASPS
172	T.cells_CD8	GAGE2A	NA	NA	ASPS
173	CytolyticScore	GAGE2A	NA	NA	ASPS
174	T.cells_CD8	GPAT2	0.00294117647058824	0.991374804556362	ASPS
175	CytolyticScore	GPAT2	0.155882352941176	0.564281969472802	ASPS
176	T.cells_CD8	GPATCH2	0.144117647058824	0.594378288173693	ASPS
177	CytolyticScore	GPATCH2	0.0676470588235294	0.803420313796669	ASPS
178	T.cells_CD8	HEMGN	-0.021492220347022	0.937029732531032	ASPS
179	CytolyticScore	HEMGN	0.00307031719243172	0.990996104787895	ASPS
180	T.cells_CD8	HORMAD1	0.0882352941176471	0.745222094367133	ASPS
181	CytolyticScore	HORMAD1	0.158823529411765	0.556861281085539	ASPS
182	T.cells_CD8	HORMAD2	-0.0637545775849369	0.814542914559528	ASPS
183	CytolyticScore	HORMAD2	-0.0173876120686192	0.949039608268292	ASPS
184	T.cells_CD8	HSPB9	0.664705882352941	0.00496738593748214	ASPS
185	CytolyticScore	HSPB9	0.761764705882353	0.000605342838070566	ASPS
186	T.cells_CD8	IGF2BP3	0.194117647058824	0.471289728362107	ASPS
187	CytolyticScore	IGF2BP3	0.267647058823529	0.316254418548309	ASPS
188	T.cells_CD8	IGSF11	-0.323529411764706	0.221574125001243	ASPS
189	CytolyticScore	IGSF11	-0.232352941176471	0.386511349907985	ASPS
190	T.cells_CD8	IL13RA2	-0.297058823529412	0.263863014613523	ASPS
191	CytolyticScore	IL13RA2	-0.232352941176471	0.386511349907985	ASPS
192	T.cells_CD8	KDM5B	0.0382352941176471	0.888197653985307	ASPS
