row	column	cor	p	group	DiffExp
197	CytolyticScore	KIF20B	 0.000000e+00	1.000000e+00	ASPS	0
198	T.cells_CD8	KIF2C	 1.058824e-01	6.963341e-01	ASPS	0
199	CytolyticScore	KIF2C	 9.411765e-02	7.288144e-01	ASPS	0
200	T.cells_CD8	LDHC	-1.752236e-01	5.162793e-01	ASPS	0
201	CytolyticScore	LDHC	-2.395915e-01	3.714588e-01	ASPS	0
202	T.cells_CD8	LEMD1	 3.612759e-01	1.691774e-01	ASPS	0
203	CytolyticScore	LEMD1	 2.704740e-01	3.109730e-01	ASPS	0
204	T.cells_CD8	LIPI	-7.854028e-02	7.724869e-01	ASPS	0
205	CytolyticScore	LIPI	-2.089171e-01	4.374485e-01	ASPS	0
206	T.cells_CD8	LUZP4	-1.941176e-01	4.712897e-01	ASPS	1
207	CytolyticScore	LUZP4	-1.411765e-01	6.020027e-01	ASPS	1
208	T.cells_CD8	LY6K	 2.529412e-01	3.445630e-01	ASPS	0
209	CytolyticScore	LY6K	 4.411765e-01	8.715364e-02	ASPS	0
210	T.cells_CD8	LYPD6B	-1.468287e-01	5.873853e-01	ASPS	0
211	CytolyticScore	LYPD6B	-6.761849e-02	8.035018e-01	ASPS	0
212	T.cells_CD8	MAEL	 2.654879e-02	9.222522e-01	ASPS	0
213	CytolyticScore	MAEL	-3.834825e-02	8.878693e-01	ASPS	0
214	T.cells_CD8	MAGEA1	NA	NA	ASPS	0
215	CytolyticScore	MAGEA1	NA	NA	ASPS	0
216	T.cells_CD8	MAGEA10	NA	NA	ASPS	0
217	CytolyticScore	MAGEA10	NA	NA	ASPS	0
218	T.cells_CD8	MAGEA11	-5.004838e-01	4.832828e-02	ASPS	0
219	CytolyticScore	MAGEA11	-5.306854e-01	3.443578e-02	ASPS	0
220	T.cells_CD8	MAGEA12	-3.940737e-01	1.309596e-01	ASPS	0
221	CytolyticScore	MAGEA12	-4.119862e-01	1.128210e-01	ASPS	0
222	T.cells_CD8	MAGEA2	 3.753628e-01	1.519504e-01	ASPS	0
223	CytolyticScore	MAGEA2	 3.106451e-01	2.415820e-01	ASPS	0
224	T.cells_CD8	MAGEA2B	 3.640728e-01	1.656581e-01	ASPS	0
225	CytolyticScore	MAGEA2B	 3.080616e-01	2.457252e-01	ASPS	0
226	T.cells_CD8	MAGEA3	 3.640728e-01	1.656581e-01	ASPS	0
227	CytolyticScore	MAGEA3	 3.080616e-01	2.457252e-01	ASPS	0
228	T.cells_CD8	MAGEA4	NA	NA	ASPS	0
229	CytolyticScore	MAGEA4	NA	NA	ASPS	0
230	T.cells_CD8	MAGEA5	-1.431668e-01	5.968389e-01	ASPS	0
231	CytolyticScore	MAGEA5	-2.198633e-01	4.132441e-01	ASPS	0
232	T.cells_CD8	MAGEA6	-2.800560e-02	9.179990e-01	ASPS	0
233	CytolyticScore	MAGEA6	 2.520504e-01	3.463224e-01	ASPS	0
234	T.cells_CD8	MAGEA8	 1.895276e-01	4.820390e-01	ASPS	0
235	CytolyticScore	MAGEA8	 3.182634e-01	2.296200e-01	ASPS	0
236	T.cells_CD8	MAGEA9	-1.941532e-01	4.712070e-01	ASPS	0
237	CytolyticScore	MAGEA9	-5.608870e-02	8.365434e-01	ASPS	0
238	T.cells_CD8	MAGEA9B	NA	NA	ASPS	0
239	CytolyticScore	MAGEA9B	NA	NA	ASPS	0
240	T.cells_CD8	MAGEB1	NA	NA	ASPS	0
241	CytolyticScore	MAGEB1	NA	NA	ASPS	0
242	T.cells_CD8	MAGEB2	 1.960392e-01	4.668248e-01	ASPS	0
243	CytolyticScore	MAGEB2	 1.960392e-01	4.668248e-01	ASPS	0
244	T.cells_CD8	MAGEB3	NA	NA	ASPS	0
245	CytolyticScore	MAGEB3	NA	NA	ASPS	0
246	T.cells_CD8	MAGEB4	NA	NA	ASPS	0
247	CytolyticScore	MAGEB4	NA	NA	ASPS	0
248	T.cells_CD8	MAGEB5	NA	NA	ASPS	0
