row	column	cor	p	group	DiffExp
204	T.cells_CD8	DMRT1	-3.548634e-02	8.961938e-01	ASPS	0
205	CytolyticScore	DMRT1	-6.083373e-02	8.229111e-01	ASPS	0
206	T.cells_CD8	DMRT2	-5.588235e-02	8.371372e-01	ASPS	0
207	CytolyticScore	DMRT2	-5.294118e-02	8.456104e-01	ASPS	0
208	T.cells_CD8	DMRT3	 9.705882e-02	7.206513e-01	ASPS	0
209	CytolyticScore	DMRT3	 3.117647e-01	2.398000e-01	ASPS	0
210	T.cells_CD8	DMRTA1	-5.294118e-02	8.456104e-01	ASPS	0
211	CytolyticScore	DMRTA1	-2.352941e-01	3.803558e-01	ASPS	0
212	T.cells_CD8	DMRTA2	 1.383370e-01	6.094002e-01	ASPS	0
213	CytolyticScore	DMRTA2	 2.133923e-01	4.274667e-01	ASPS	0
214	T.cells_CD8	DMRTB1	NA	NA	ASPS	0
215	CytolyticScore	DMRTB1	NA	NA	ASPS	0
216	T.cells_CD8	DMRTC1B	 5.026578e-02	8.533318e-01	ASPS	0
217	CytolyticScore	DMRTC1B	-4.869497e-02	8.578711e-01	ASPS	0
218	T.cells_CD8	DMRTC2	NA	NA	ASPS	0
219	CytolyticScore	DMRTC2	NA	NA	ASPS	0
220	T.cells_CD8	DMTF1	 2.852941e-01	2.841387e-01	ASPS	0
221	CytolyticScore	DMTF1	 2.941176e-01	2.688466e-01	ASPS	0
222	T.cells_CD8	DNAJC1	 0.000000e+00	1.000000e+00	ASPS	0
223	CytolyticScore	DNAJC1	-1.382353e-01	6.096659e-01	ASPS	0
224	T.cells_CD8	DNAJC2	 4.852941e-01	5.671771e-02	ASPS	0
225	CytolyticScore	DNAJC2	 4.323529e-01	9.442104e-02	ASPS	0
226	T.cells_CD8	DPRX	-4.200840e-01	1.052281e-01	ASPS	0
227	CytolyticScore	DPRX	-4.200840e-01	1.052281e-01	ASPS	0
228	T.cells_CD8	DRGX	-1.343433e-01	6.198651e-01	ASPS	0
229	CytolyticScore	DRGX	-1.044893e-01	7.001557e-01	ASPS	0
230	T.cells_CD8	DUX4	NA	NA	ASPS	0
231	CytolyticScore	DUX4	NA	NA	ASPS	0
232	T.cells_CD8	DUX4L2	NA	NA	ASPS	0
233	CytolyticScore	DUX4L2	NA	NA	ASPS	0
234	T.cells_CD8	DUX4L3	NA	NA	ASPS	0
235	CytolyticScore	DUX4L3	NA	NA	ASPS	0
236	T.cells_CD8	DUX4L4	NA	NA	ASPS	0
237	CytolyticScore	DUX4L4	NA	NA	ASPS	0
238	T.cells_CD8	DUX4L5	NA	NA	ASPS	0
239	CytolyticScore	DUX4L5	NA	NA	ASPS	0
240	T.cells_CD8	DUX4L6	NA	NA	ASPS	0
241	CytolyticScore	DUX4L6	NA	NA	ASPS	0
242	T.cells_CD8	DUX4L7	NA	NA	ASPS	0
243	CytolyticScore	DUX4L7	NA	NA	ASPS	0
244	T.cells_CD8	DUXA	-8.436615e-02	7.560710e-01	ASPS	0
245	CytolyticScore	DUXA	-2.300895e-02	9.325949e-01	ASPS	0
246	T.cells_CD8	E2F1	 2.264706e-01	3.989829e-01	ASPS	0
247	CytolyticScore	E2F1	 1.029412e-01	7.044104e-01	ASPS	0
248	T.cells_CD8	E2F2	 4.058824e-01	1.187917e-01	ASPS	0
249	CytolyticScore	E2F2	 2.941176e-01	2.688466e-01	ASPS	0
250	T.cells_CD8	E2F3	 7.058824e-02	7.950393e-01	ASPS	0
