GeneName	YSTNormalsStatus	RMS.FNNormalsStatus	NB.MYCN.NANormalsStatus	NB.MYCN.ANormalsStatus	WTNormalsStatus	OSNormalsStatus	UDSNormalsStatus	NB.UnknownNormalsStatus	EWSNormalsStatus	SSNormalsStatus	RMS.FPNormalsStatus	CCSKNormalsStatus	MLNormalsStatus	DSRCTNormalsStatus	TeratomaNormalsStatus	ASPSNormalsStatus	HBLNormalsStatus	RowSum
CCDC36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM46D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HORMAD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FMR1NB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBXO39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSSK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM133A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNAJB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPPP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TDRD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAGE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTEC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEA2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TFDP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRSS55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ODF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NXF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P4HB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
XAGE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NXF2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LEMD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPRSS12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAGE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSX7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTEE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POTEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAGE2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXN4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIWIL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZNF165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPANXA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
